n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,strat,ratio,window_years
800,0.11576691123806027,0.11548040810631922,-0.040158398898775316,0.8147233444317519,1.7291586725604824,0.540188779045052,0.0,naked 1x,0.0,5
800,0.12949326625133584,0.1278729212771565,-0.055289214957931654,0.7525084933519611,1.8381546411930014,0.59074800679362,0.0,sell ATM r0.25,0.25,5
800,0.139753036368351,0.13900086181407645,-0.06891244577967573,0.6997998365505621,1.9231579819693756,0.6549592847938184,0.0,sell ATM r0.5,0.5,5
800,0.15241030776945852,0.15028279025801347,-0.08769087171010694,0.603919590486793,2.0200700108978076,0.7106889801144934,0.00625,sell ATM r0.75,0.75,5
800,0.16501161646640394,0.16297827177041732,-0.10359906873635615,0.45050718910812443,2.110161618995643,0.7960985950416529,0.02625,sell ATM r1.0,1.0,5
800,0.10076838865106363,0.10152410813062165,0.027075859412810623,1.7062811609591673,6.8221264066604075,0.700682891763704,0.0,naked 1x,0.0,20
800,0.11098399069111298,0.11110105462407471,0.025714798733453937,1.661624303394171,8.206463106371238,0.755460656730826,0.0,sell ATM r0.25,0.25,20
800,0.11950188104612314,0.1190199645943778,0.02073445877289908,1.507495496803962,9.560851473088377,0.8090700089268871,0.0,sell ATM r0.5,0.5,20
800,0.1263095921940216,0.12598106765034883,0.015193497531574623,1.1495111326266765,10.64791717552082,0.8699042587315869,0.0125,sell ATM r0.75,0.75,20
800,0.13470202519668883,0.1343776117568066,0.009554451218388937,0.0,11.17433338441808,1.0,0.07375,sell ATM r1.0,1.0,20
