block,window_years,strat,cagr_median,tw_median,tw_p5,mdd_p95,p_ruin
21,5,naked 1x,0.11717760733673965,1.7401159300880173,0.9069456553785488,0.4380566553594445,0.0
21,5,sell ATM r0.5,0.16785652026174502,2.172211592255079,0.9316332987197264,0.5241885542891244,0.0
21,5,sell ATM r1.0,0.21517161026025833,2.647696282442649,0.9175084297234138,0.6139386628961704,0.0025
21,5,sell 5%OTM r0.5,0.14008967574209252,1.9259994464088779,0.9134485009317408,0.48464213314600546,0.0
21,5,sell 5%OTM r1.0,0.15932059207390514,2.092920259900188,0.8994235115495444,0.5603234716849408,0.00125
21,20,naked 1x,0.11402407611647825,8.667455916499325,2.5627486215457274,0.5442871506404686,0.0
21,20,sell ATM r0.5,0.16394509475215535,20.828142658207703,4.204220157836931,0.6346692209469781,0.0
21,20,sell ATM r1.0,0.2117161434461733,46.44664403035363,5.606738381482962,0.7319167700830426,0.0025
21,20,sell 5%OTM r0.5,0.13525419678383666,12.643354712886314,3.0991299635174263,0.5989811882533289,0.0
21,20,sell 5%OTM r1.0,0.15579066135840292,18.096119630739885,3.484518413853873,0.6705828818430566,0.0
63,5,naked 1x,0.11795215481885679,1.7461556141618129,0.9524862823159588,0.4558421150491925,0.0
63,5,sell ATM r0.5,0.17086130358520868,2.200292815897578,0.9569153658133268,0.5362071947952255,0.0
63,5,sell ATM r1.0,0.2197959235326289,2.700081220858986,0.9324315010992552,0.6194301261284161,0.0
63,5,sell 5%OTM r0.5,0.14081917717264858,1.9321680773178564,0.9485118333196347,0.5013984639755226,0.0
63,5,sell 5%OTM r1.0,0.16317932444235295,2.129062675672008,0.9161691794253853,0.5636726302533079,0.0
63,20,naked 1x,0.11517781388422643,8.848762770332037,2.36373868415048,0.5739388761642814,0.0
63,20,sell ATM r0.5,0.16690370523189801,21.912927274529387,3.871462127672764,0.648274276071346,0.0
63,20,sell ATM r1.0,0.21623395382386001,50.12064562071561,5.263291537700807,0.7488122165555553,0.00125
63,20,sell 5%OTM r0.5,0.13656998173804225,12.939682845109004,2.886807015003891,0.6121223348124545,0.0
63,20,sell 5%OTM r1.0,0.15598085513431525,18.15569990963045,3.2257565813798923,0.6828126885342339,0.0
126,5,naked 1x,0.11435462752245484,1.7182443317111238,0.9658225480605308,0.47430676762145857,0.0
126,5,sell ATM r0.5,0.16052502947548086,2.104884732660973,0.9998837202624177,0.531441072318455,0.0
126,5,sell ATM r1.0,0.20775257434433136,2.569412241792163,1.0066249622667631,0.6079935135012731,0.0
126,5,sell 5%OTM r0.5,0.13371039125406292,1.8727230673982032,0.9802491122785154,0.4967355879325889,0.0
126,5,sell 5%OTM r1.0,0.15207035192295415,2.029331186747908,0.966158479561501,0.5564784449986776,0.0
126,20,naked 1x,0.11387595686031715,8.644434981179502,2.3993796004573475,0.5946644311163415,0.0
126,20,sell ATM r0.5,0.1655838193467879,21.422559065197095,4.011816442403892,0.6572354378531944,0.0
126,20,sell ATM r1.0,0.21295454629367394,47.08646302317085,5.480775056678482,0.739597614413102,0.00125
126,20,sell 5%OTM r0.5,0.13450336287556885,12.477161903511291,3.0294649690935627,0.6133623042836832,0.0
126,20,sell 5%OTM r1.0,0.15128864359516325,16.73735895982658,3.4382372878983793,0.6683426706100732,0.0
