n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,leverage,window_years,maint_margin,protection,put_mtm
1000,0.17865264363455502,0.18863131818593587,-0.1391221290140617,0.13527713351760107,4.869505158956747,0.9886182365504825,0.022,3.0,10,0.0,none,False
1000,0.15027117010875857,0.1567302348122478,-0.10488720576685653,0.17518886881484735,3.7698967307270648,0.9860280027544737,0.022,3.0,10,0.0,put20,False
1000,0.14444278802073485,0.15408871606043587,-0.10965420065622397,0.2514220377628771,3.807756495794285,0.9860280027544737,0.007,3.0,10,0.0,put20,True
1000,0.20230694283629458,0.2094336471076317,-0.09453301356904713,0.0,4.2630624030736595,1.0,0.15,3.0,10,0.05,none,False
1000,0.16305977209496303,0.17144394784262604,-0.0906806055359518,0.0,3.1907905556878022,1.0,0.15,3.0,10,0.05,put20,False
1000,0.15082048606894471,0.15761194109702603,-0.10827510872877137,0.10711326238356682,3.6795361928437327,0.9989469287793183,0.036,3.0,10,0.05,put20,True
1000,0.21669537522013793,0.235765550159719,-0.06025440604648708,0.0,3.322753966048581,1.0,0.302,3.0,10,0.1,none,False
1000,0.17874873666438595,0.1912762158192163,-0.06652078717972347,0.0,2.287085577392994,1.0,0.302,3.0,10,0.1,put20,False
1000,0.16182827647565112,0.16845372186868682,-0.0920665797916882,0.0,3.132502173605981,1.0,0.143,3.0,10,0.1,put20,True
