window_years,leverage,cagr_median,cagr_mean,cagr_p5,tw_median,tw_p5,p_ruin
5,0.75,0.09608677742903082,0.09775850735637581,0.008004078731537936,1.5819670105160926,1.0406607480259904,0.0
5,1.0,0.11451333451006218,0.1165671884140813,-0.006992064430247575,1.7194680782349203,0.9655297984547387,0.0
5,1.25,0.13013018562799827,0.13411908365273256,-0.023326237708719177,1.8433424462408132,0.8886990632393879,0.0
5,1.5,0.14470189188719385,0.1503035119555276,-0.04076819609620019,1.9652685925844775,0.8121390801973578,0.0
5,1.75,0.1570644678039077,0.1649948817420762,-0.06120508535353412,2.073693199921336,0.729243343654028,0.0
5,2.0,0.16613080053972085,0.17832216755447358,-0.08263297178207119,2.155882438674867,0.6469919399789997,0.001
5,2.5,0.19719754470010487,0.21311587028917597,-0.11150858703919175,2.2759689166803687,0.0,0.057
5,3.0,0.23360808729957383,0.2574728207954887,-0.12901698058763056,2.253866142756153,0.0,0.159
20,0.75,0.09579614552085136,0.09577481244958731,0.047887581234971964,6.231539942877544,2.548556173359975,0.0
20,1.0,0.11286579731691626,0.11327876530332827,0.0489886063839632,8.488990668543131,2.602661303376027,0.0
20,1.25,0.12852554259051552,0.12915061928279714,0.04650868335710863,11.226088305172103,2.4823143600957214,0.0
20,1.5,0.14280706908596874,0.14324547795801232,0.04378185998462155,14.436392913465308,2.3561131052306457,0.0
20,1.75,0.15505115519128565,0.15539611981131674,0.03845093685816151,17.865895324212932,2.1267678392540166,0.0
20,2.0,0.16492607017386762,0.16539939459439398,0.02959278112890499,21.182017158471815,1.7918920679942894,0.0
20,2.5,0.18582228007871915,0.1895365701472318,0.015478337881533934,17.097002395178528,0.0,0.2
20,3.0,0.22467354241172166,0.22973888604021084,0.0376528907085142,0.0,0.0,0.538
