mult_median,mult_p5,irr_median,irr_p5,p_underwater,p_any_liq,strat,window_years
1.3559729365004054,0.8718691474899785,0.11919434289937036,-0.05285693243136684,0.1225,0.0,naked 1x,5
1.4905531731677142,0.7579307113352354,0.1568527146995199,-0.10645137609316915,0.165,0.0,1.5x futures,5
1.603402447690458,0.5699457019665249,0.18612800357171244,-0.21468223840993927,0.2125,0.0375,2.0x futures,5
1.4424389329676894,0.8424561424199452,0.14375752072971903,-0.0660233903420104,0.13,0.0,1x+5%OTM r0.5,5
1.3958493064667623,0.8517352848264665,0.13069414174090044,-0.061823194712270026,0.125,0.0,1x+5%OTM r0.25,5
1.576893211198722,0.6736446108294493,0.179421965541135,-0.15132282875269443,0.1775,0.025,1.5x+5%OTM r0.5,5
3.28060521787787,1.3200525057177512,0.10521221061173325,0.026399786735755916,0.02,0.0,naked 1x,20
4.434885608840748,1.0939856365930478,0.12972843935171718,0.008710261401222396,0.0375,0.0,1.5x futures,20
5.083954948881376,0.5292160266852066,0.1406797550235206,-0.06817642362555343,0.11125,0.11125,2.0x futures,20
3.95238597918973,1.3687440848378754,0.12042294306932999,0.029735715423102466,0.0225,0.0,1x+5%OTM r0.5,20
3.5595896122007904,1.3581708187195083,0.111902682206662,0.029024789816400023,0.02,0.0,1x+5%OTM r0.25,20
4.974540801471587,0.7889005256576626,0.1389410236900952,-0.02392454784750315,0.07125,0.0625,1.5x+5%OTM r0.5,20
