n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,strat,window_years
800,0.11576691123806027,0.11548040810631922,-0.040158398898775316,0.8147233444317519,1.7291586725604824,0.540188779045052,0.0,1x futures,5
800,0.1325848418030826,0.13213379655622653,-0.06672933789536382,0.7080423801794316,1.8634455842325752,0.6455487115541875,0.0,1.25x futures,5
800,0.146362626664013,0.146825781458518,-0.09585528281967554,0.6042545158926629,1.9795642671521025,0.7421603910931792,0.0,1.5x futures,5
800,0.16256744418903002,0.16231754009653307,-0.12882505131221259,0.47543765418491013,2.071004758711327,0.8132059783493781,0.0175,1.75x futures,5
800,0.17646414721118164,0.17978867382699965,-0.15811978607982757,0.0,2.1151176833725147,1.0,0.055,2x futures,5
800,0.12949326625133584,0.1278729212771565,-0.055289214957931654,0.7525084933519611,1.8381546411930014,0.59074800679362,0.0,1x + sellATM r0.25,5
800,0.139753036368351,0.13900086181407645,-0.06891244577967573,0.6997998365505621,1.9231579819693756,0.6549592847938184,0.0,1x + sellATM r0.5,5
800,0.15241030776945852,0.15028279025801347,-0.08769087171010694,0.603919590486793,2.0200700108978076,0.7106889801144934,0.00625,1x + sellATM r0.75,5
800,0.16501161646640394,0.16297827177041732,-0.10359906873635615,0.45050718910812443,2.110161618995643,0.7960985950416529,0.02625,1x + sellATM r1.0,5
800,0.10076838865106363,0.10152410813062165,0.027075859412810623,1.7062811609591673,6.8221264066604075,0.700682891763704,0.0,1x futures,20
800,0.11295602192730259,0.11331285821863236,0.019446861951993556,1.469914273500265,8.502763330763425,0.8099328634550571,0.0,1.25x futures,20
800,0.12262285406802187,0.12252151868651283,0.007412906660437997,1.134346412035338,10.104722295505564,0.8858729787220583,0.00125,1.5x futures,20
800,0.13130410549207228,0.13165211269696753,-0.004881744137164578,0.0,10.575724050803444,1.0,0.05875,1.75x futures,20
800,0.14223563960437025,0.14289013086203006,-0.013932291746508901,0.0,8.961894553485052,1.0,0.17875,2x futures,20
800,0.11098399069111298,0.11110105462407471,0.025714798733453937,1.661624303394171,8.206463106371238,0.755460656730826,0.0,1x + sellATM r0.25,20
800,0.11950188104612314,0.1190199645943778,0.02073445877289908,1.507495496803962,9.560851473088377,0.8090700089268871,0.0,1x + sellATM r0.5,20
800,0.1263095921940216,0.12598106765034883,0.015193497531574623,1.1495111326266765,10.64791717552082,0.8699042587315869,0.0125,1x + sellATM r0.75,20
800,0.13470202519668883,0.1343776117568066,0.009554451218388937,0.0,11.17433338441808,1.0,0.07375,1x + sellATM r1.0,20
