n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,window_years,leverage,protection
1000,0.111698086333343,0.11311495032974858,-0.012351467173246727,0.9397575230264659,1.6978643393277544,0.4386154506405244,0.0,5,1.0,none
1000,0.09050128736473206,0.09417690301353909,-0.01926453851644086,0.907331329216301,1.5420738050419736,0.4496096490665301,0.0,5,1.0,put15
1000,0.09662735283318713,0.09997063809180318,-0.016267876654681164,0.9212759547905699,1.5858714550539665,0.4498527469324426,0.0,5,1.0,put20
1000,0.10184057277108816,0.10399384454884554,-0.01734353126870457,0.9162495925502014,1.623921300099493,0.4485173305342074,0.0,5,1.0,put25
1000,0.16310397997701942,0.1701889230799325,-0.09754699835474516,0.5986237013900134,2.1283732883249673,0.7563789721268929,0.0,5,2.0,none
1000,0.12313656113470173,0.1334770828736387,-0.09820784513754008,0.5964349563666178,1.787015709739332,0.7624095068225802,0.0,5,2.0,put15
1000,0.13248236888728315,0.14469869417479447,-0.09297095906468526,0.6139631164596823,1.8626038643031098,0.7623627233189885,0.0,5,2.0,put20
1000,0.1404359759198709,0.15229743778542099,-0.09477513790558709,0.6078717839736465,1.9289268620797153,0.7596161799626415,0.0,5,2.0,put25
1000,0.18480473873301229,0.20130541412670544,-0.2220347871218038,0.22042840439072042,2.294408943843968,0.960292321316069,0.018,5,3.0,none
1000,0.1321599902299715,0.15024284243939373,-0.20494425689881465,0.26037328779842983,1.8255562486043244,0.9568895738298947,0.018,5,3.0,put15
1000,0.14777339104488985,0.1662002291297043,-0.20809111884321638,0.23067909295107633,1.9200618472230055,0.9567011725060846,0.018,5,3.0,put20
1000,0.15558465276135014,0.17650048432421356,-0.21306873727251902,0.2326327943627541,2.0046750890570837,0.9597527488589785,0.018,5,3.0,put25
1000,0.1135203557036254,0.11403818182626645,0.022549264143878967,1.249767355147343,2.9303379033673096,0.5064622648673537,0.0,10,1.0,none
1000,0.09278883427051765,0.09511504214652719,0.013561182142289309,1.144173588584643,2.428342007616589,0.5010522507319657,0.0,10,1.0,put15
1000,0.1003873941433644,0.10087624429290505,0.015271960957490305,1.1636301085533478,2.6025514272480867,0.5045200587301296,0.0,10,1.0,put20
1000,0.104655796874626,0.10507430820808221,0.01835217986969169,1.199416209317849,2.705269862368602,0.5049714296932526,0.0,10,1.0,put25
1000,0.16758050693395754,0.1688644563441855,-0.025673462339085865,0.7710125361017348,4.7073474561781925,0.8209987261677515,0.0,10,2.0,none
1000,0.1267890415976929,0.13251402129697404,-0.034155141510482205,0.7064778826971391,3.2987949792138953,0.8219883130370024,0.0,10,2.0,put15
1000,0.13927728407528217,0.14343461631201246,-0.03454517513926659,0.7036251647638636,3.6831349963461184,0.8217672109040433,0.0,10,2.0,put20
1000,0.14732450334508673,0.15134604778920172,-0.03182364473684649,0.7237091606394039,3.9516737364402577,0.8242762122290155,0.0,10,2.0,put25
1000,0.18890349056291766,0.1913305861810765,-0.13088922940123848,0.1291292460751462,5.315270125909336,0.9869070501276908,0.027,10,3.0,none
1000,0.1320742028765476,0.14306806742434425,-0.11262879601775394,0.15901761013712742,3.270659286162941,0.984286986201437,0.027,10,3.0,put15
1000,0.14768638899926811,0.1575459002234519,-0.1207489324925209,0.16326198466640554,3.7668247937528196,0.9842370991149118,0.027,10,3.0,put20
1000,0.1625352254864254,0.1680482062995639,-0.12536343390311686,0.17519693120294635,4.205510869205032,0.9858220501894909,0.027,10,3.0,put25
1000,0.11758399929657481,0.11615346323589162,0.04055991617750254,1.815396017851457,5.297897177501788,0.5278355777371173,0.0,15,1.0,none
1000,0.09710170489507675,0.09774700942902408,0.027771135771621203,1.50807117206162,4.014400639619945,0.5316473879386239,0.0,15,1.0,put15
1000,0.1041298777222972,0.10339529741063953,0.02993230331455752,1.5563379190714957,4.417882054171386,0.5385372004237766,0.0,15,1.0,put20
1000,0.10779222266276545,0.10746110647219177,0.03360158210650834,1.641603096323594,4.642857258764391,0.5382991966491241,0.0,15,1.0,put25
1000,0.1726233974965472,0.1724202672147463,0.008429675556860953,1.1341742586423356,10.895247875729577,0.8548363364475309,0.0,15,2.0,none
1000,0.13464355256060034,0.137577961114983,-0.008633336985465308,0.8780604871832026,6.649369333445096,0.8550815011371329,0.0,15,2.0,put15
1000,0.14661473732426378,0.14814767492180062,-0.0038023599852782964,0.9444661783933296,7.782892485388601,0.8555185453508477,0.0,15,2.0,put20
1000,0.15402340450015328,0.15563926702784447,-0.0032954563441425604,0.9516990543063716,8.572198409528834,0.855786048290913,0.0,15,2.0,put25
