n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,strat,window_years
800,0.11576691123806027,0.11548040810631922,-0.040158398898775316,0.8147233444317519,1.7291586725604824,0.540188779045052,0.0,naked 1x,5
800,0.12573405812100658,0.12410615936800044,-0.04813695250959271,0.7814245344370495,1.8077727036079376,0.572581089483724,0.0,COMBO short 25d (naked),5
800,0.11776365988067194,0.11685053041860055,-0.04001884135813075,0.815320664030946,1.7446843684488496,0.5384077448795266,0.0,COMBO 25/20 spread,5
800,0.12059713575009501,0.11947530399153371,-0.04148384382831041,0.8091145742656488,1.7669071234463078,0.5425589914831834,0.0,COMBO 25/10 spread,5
800,0.042877907871485266,0.042750161471974045,0.022085287492802076,1.115396300537232,1.2335446036396283,0.0597644473092077,0.0,cash short 25d (naked),5
800,0.03344333511800812,0.03400189023443551,0.019880342188666,1.103418489990423,1.1787550465367382,0.007024714665341535,0.0,cash 25/20 spread,5
800,0.03619584602324122,0.03702695080738894,0.021607376753018093,1.1127913693343625,1.194534411969468,0.021697656289755462,0.0,cash 25/10 spread,5
800,0.10076838865106363,0.10152410813062165,0.027075859412810623,1.7062811609591673,6.8221264066604075,0.700682891763704,0.0,naked 1x,20
800,0.10866386090069691,0.10876083429838175,0.028036330924385965,1.7384788236392663,7.870419057471343,0.731504480381366,0.0,COMBO short 25d (naked),20
800,0.10238036902645509,0.10275284851366384,0.026674641791806297,1.6929991658757213,7.024733415626975,0.7032021044819263,0.0,COMBO 25/20 spread,20
800,0.10454873142299947,0.10494834025458621,0.0272886821512916,1.7133657507294526,7.306337205953151,0.7124284137534346,0.0,COMBO 25/10 spread,20
800,0.04165813295940246,0.0418349658871968,0.03193901626794671,1.8753427675088972,2.262060344429973,0.08303428199670562,0.0,cash short 25d (naked),20
800,0.03332677792090799,0.033646563341707514,0.026281295430890216,1.680073471911126,1.9264320090543143,0.011610247265937472,0.0,cash 25/20 spread,20
800,0.0361855548744463,0.03646180110320075,0.02873268944352623,1.7621822132222822,2.0358729890230576,0.03617007676328429,0.0,cash 25/10 spread,20
