n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,strat,window_years
1000,0.11639109027365913,0.11450459623384904,-0.03887322319182551,0.8201919696241079,1.7340001281186157,0.5326015218688289,0.0,naked 1x (buy&hold),5
1000,0.14754565953036303,0.1453613058712052,-0.09580878087850267,0.6044096142296252,1.9898007282365178,0.7392157737534286,0.0,1.5x futures,5
1000,0.17748474116821789,0.17786474202416952,-0.14993097879192765,0.0,2.1151176833725147,1.0,0.053,2.0x futures,5
1000,0.1257468608902984,0.12386276384507815,-0.04396823889446298,0.7986840980777832,1.8078770804348196,0.5581088830936934,0.0,1x + 5%OTM r0.25,5
1000,0.1343961391955909,0.13252926485698469,-0.048954090434944336,0.7780770015739598,1.8783920488517576,0.594228475448117,0.0,1x + 5%OTM r0.5,5
1000,0.12106225605736398,0.11973097443622313,-0.04088157964676281,0.8116592057787241,1.770576486573449,0.5469650929039634,0.0,1x + 10%OTM r0.25,5
1000,0.12573405812100658,0.12323412707891719,-0.04693835882321954,0.7863566996332567,1.8077727036079376,0.5637306299172795,0.0,1x + 25d r0.25,5
1000,0.13236784795942103,0.12937140734136005,-0.04745945322607751,0.7842091039081186,1.8616623871946056,0.5676361523700749,0.0,1x + 25/10 spread r1.0,5
1000,0.0761833383336431,0.07304381304412258,0.01613561033429788,1.0833121123423073,1.4434758022558791,0.23451598607078195,0.0,cash-secured 5%OTM r1.0,5
1000,0.10105588016360245,0.10097820251681329,0.024304981961831517,1.6165386394979044,6.857840262458743,0.7065266877187555,0.0,naked 1x (buy&hold),20
1000,0.12262285406802187,0.12177737275484471,0.0049070826276107525,1.0867646573528547,10.104722295505564,0.8825422087987561,0.001,1.5x futures,20
1000,0.14245560653636558,0.14226243415716716,-0.018106978027488372,0.0,8.862556041461483,1.0,0.175,2.0x futures,20
1000,0.11006522220544468,0.10908440807938792,0.025944071150133353,1.6690678303615365,8.071798580219076,0.7284420188128654,0.0,1x + 5%OTM r0.25,20
1000,0.11702251579232559,0.11626040587698844,0.026956021332905224,1.7023049411845474,9.146154766628175,0.7652689097712503,0.0,1x + 5%OTM r0.5,20
1000,0.10652333035111938,0.10579907033295997,0.02662158806262003,1.6912507640414904,7.572018047431303,0.7144922389704788,0.0,1x + 10%OTM r0.25,20
1000,0.10892632375641953,0.10819630151173247,0.024553979083532487,1.62442050053037,7.907767866463085,0.7312774602516754,0.0,1x + 25d r0.25,20
1000,0.1123265009860015,0.1127847569511679,0.023882378942471517,1.6032511446805777,8.407095640276989,0.7552141025589161,0.0,1x + 25/10 spread r1.0,20
1000,0.070281364816141,0.06968507955040758,0.04160339318577492,2.25968406656194,3.890087581010472,0.3352574306989389,0.0,cash-secured 5%OTM r1.0,20
