n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,strat,window_years
800,0.15413095974561197,0.14968244732632643,-0.07808764786262165,0.5548125190819473,2.017550287948098,0.7212613693487091,0.01875,COMBO 25d naked r1.0,5
800,0.13084478502835217,0.1301901872103088,-0.05032833806504531,0.7724729444947306,1.8491768784882974,0.5692635671994615,0.0,COMBO 25/10 spread r1.0,5
800,0.0741238788323374,0.07121349479963669,0.0032396021248595874,1.0163011071107397,1.4297187167092709,0.25608186502720065,0.0,cash 25d naked r1.0,5
800,0.0510974747963342,0.04971382381155602,0.020182047525029213,1.105051490171006,1.2829216978033826,0.0994070929879341,0.0,cash 25/10 spread r1.0,5
800,0.1285713685345693,0.1274559942485986,0.020431728438152177,0.0,10.412761659186433,1.0,0.05625,COMBO 25d naked r1.0,20
800,0.11200512188817213,0.11349094819763934,0.027294825804046765,1.713571000752518,8.358648957261863,0.7549682586799559,0.0,COMBO 25/10 spread r1.0,20
800,0.06837964213727221,0.06767782496538276,0.0362520733738521,2.0384884341545675,3.754154429393485,0.3550074222675602,0.0,cash 25d naked r1.0,20
800,0.04832843785922403,0.04800123399620631,0.033877947646756154,1.9470880041899123,2.5700841739817273,0.1525050111053605,0.0,cash 25/10 spread r1.0,20
