n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,strat,window_years
800,0.11576691123806027,0.11548040810631922,-0.040158398898775316,0.8147233444317519,1.7291586725604824,0.540188779045052,0.0,naked 1x,5
800,0.1325848418030826,0.13213379655622653,-0.06672933789536382,0.7080423801794316,1.8634455842325752,0.6455487115541875,0.0,1.25x futures,5
800,0.146362626664013,0.146825781458518,-0.09585528281967554,0.6042545158926629,1.9795642671521025,0.7421603910931792,0.0,1.5x futures,5
800,0.16256744418903002,0.16231754009653307,-0.12882505131221259,0.47543765418491013,2.071004758711327,0.8132059783493781,0.0175,1.75x futures,5
800,0.12949326625133584,0.1278729212771565,-0.055289214957931654,0.7525084933519611,1.8381546411930014,0.59074800679362,0.0,sell ATM r0.25,5
800,0.12578920871111676,0.1247602049982531,-0.04449145309874774,0.7965020244272145,1.8082175291939282,0.5687436286696306,0.0,sell 5%OTM r0.25,5
800,0.12106227335775421,0.12061679532779636,-0.04087749071421765,0.8116767588793393,1.7705766231958928,0.5490765466587555,0.0,sell 10%OTM r0.25,5
800,0.12577557775505,0.12417806669654777,-0.04784170581451651,0.7826370004724458,1.8081060465116165,0.572581089483724,0.0,sell 25-delta r0.25,5
800,0.12168739598000711,0.12051317987878861,-0.0452410919778868,0.7933821126079595,1.7755179504208352,0.5621326958218863,0.0,sell 10-delta r0.25,5
800,0.139753036368351,0.13900086181407645,-0.06891244577967573,0.6997998365505621,1.9231579819693756,0.6549592847938184,0.0,sell ATM r0.5,5
800,0.13439982100940007,0.1333212986095414,-0.04990194980526272,0.7742074592668488,1.8784225359618176,0.5976160358219359,0.0,sell 5%OTM r0.5,5
800,0.1260367143515182,0.1252579664144137,-0.04244204664550264,0.8050785480411797,1.810203825662065,0.5735991985693148,0.0,sell 10%OTM r0.5,5
800,0.13592340245311552,0.13207228116178665,-0.057256677043458194,0.7447060490746641,1.891068909923045,0.6215754158684261,0.0,sell 25-delta r0.5,5
800,0.12604966752511992,0.12496191773985682,-0.05022191698683217,0.7729052480171923,1.81030789284598,0.598144854322275,0.0,sell 10-delta r0.5,5
800,0.10076838865106363,0.10152410813062165,0.027075859412810623,1.7062811609591673,6.8221264066604075,0.700682891763704,0.0,naked 1x,20
800,0.11295602192730259,0.11331285821863236,0.019446861951993556,1.469914273500265,8.502763330763425,0.8099328634550571,0.0,1.25x futures,20
800,0.12262285406802187,0.12252151868651283,0.007412906660437997,1.134346412035338,10.104722295505564,0.8858729787220583,0.00125,1.5x futures,20
800,0.13130410549207228,0.13165211269696753,-0.004881744137164578,0.0,10.575724050803444,1.0,0.05875,1.75x futures,20
800,0.11098399069111298,0.11110105462407471,0.025714798733453937,1.661624303394171,8.206463106371238,0.755460656730826,0.0,sell ATM r0.25,20
800,0.10954415009070839,0.10968207591327922,0.029326409433765733,1.782642629060234,7.996349643566601,0.728816109022054,0.0,sell 5%OTM r0.25,20
800,0.10647161306288688,0.10633279390042487,0.02946546839387131,1.7874624467897107,7.564940808966119,0.7144922389704788,0.0,sell 10%OTM r0.25,20
800,0.10875337717100686,0.10883702271539251,0.028116019089651112,1.7411762197698093,7.8831378114416655,0.731504480381366,0.0,sell 25-delta r0.25,20
800,0.10549635197693263,0.10586939833598773,0.027927126834115933,1.734788570616575,7.4326956034031655,0.7195619990511757,0.0,sell 10-delta r0.25,20
800,0.11950188104612314,0.1190199645943778,0.02073445877289908,1.507495496803962,9.560851473088377,0.8090700089268871,0.0,sell ATM r0.5,20
800,0.11671770084065247,0.11689758642721458,0.02904261851576099,1.7728306633898976,9.096372235526616,0.7666950378798169,0.0,sell 5%OTM r0.5,20
800,0.11065277183058153,0.11049312826488258,0.029184499849880696,1.7777272601099015,8.157670036190607,0.7402388199655598,0.0,sell 10%OTM r0.5,20
800,0.11526706589852942,0.1151012456026903,0.025549675482454084,1.6562862796320637,8.862965824492811,0.7687766480323199,0.0,sell 25-delta r0.5,20
800,0.10973865849797715,0.109454916550947,0.027098605032159308,1.707039195258857,8.024432111118834,0.7447385794054785,0.0,sell 10-delta r0.5,20
