window_years,strike,ratio,cagr_median,cagr_mean,cagr_p5,tw_median,tw_p5,mdd_p95,p_ruin
5,none,0.0,0.11967080445632605,0.11867245825987027,-0.007027492998995288,1.7596170840616359,0.9653575967379306,0.4502034145658421,0.0
10,none,0.0,0.11458736415213344,0.11610763087269095,0.02321700018546894,2.9585442961983306,1.2579517648535947,0.5093336187632308,0.0
20,none,0.0,0.11427563856952205,0.11417168499260373,0.05113808610193517,8.706694623513208,2.71141520278771,0.5464656642477612,0.0
5,ATM,0.25,0.1434853782115696,0.14445718849062417,-0.005342654574988525,1.9548491210031402,0.9735742164639929,0.48923484143069396,0.0
10,ATM,0.25,0.13987453367991198,0.1415470879311772,0.03283792845832215,3.702479650441745,1.3813466096707259,0.5466069688890793,0.0
20,ATM,0.25,0.13837355386619155,0.13916559460848935,0.06335375660698725,13.356603059159497,3.416300381470358,0.58201812373084,0.0
5,ATM,0.5,0.1706928682793437,0.1700945105520908,-0.008627139411105121,2.1987106318541407,0.9576081115623888,0.5342070855934711,0.0
10,ATM,0.5,0.16514379463303563,0.16657139420989503,0.04180167109475263,4.610037060417234,1.5060080167956786,0.590271131023477,0.0
20,ATM,0.5,0.16346399398245737,0.16369472304072075,0.07740894386197235,20.656649578954237,4.442501778860359,0.6246278262340241,0.0
5,ATM,0.75,0.1960956751455757,0.19541555941987315,-0.00903158914399131,2.447802902471607,0.9556574136857243,0.5785394093422438,0.0
10,ATM,0.75,0.18966604544642518,0.19112833032793428,0.046847774211006,5.677372858853634,1.5805499153670868,0.642618980095528,0.0
20,ATM,0.75,0.18792189553467498,0.18768905330301777,0.08848844421340667,31.315384229697006,5.451027452225202,0.6670054939532002,0.0
5,ATM,1.0,0.2217199359026193,0.220322107466776,-0.0185662055843264,2.72144019253511,0.9105650715989339,0.630734002174875,0.0
10,ATM,1.0,0.21378898804581936,0.21509735018463566,0.049028324521714906,6.939331557116017,1.6137776996396056,0.6883491205857105,0.0
20,ATM,1.0,0.2118689619054599,0.21101953778870816,0.10007479161386411,46.67811719127903,6.736656448974591,0.714482146426745,0.0
5,5%OTM,0.25,0.1296701488532832,0.1295038785874467,-0.008252220537044972,1.8395983945979737,0.9594200760906003,0.4738498178811677,0.0
10,5%OTM,0.25,0.1258832857337263,0.1267899094649909,0.02781640168896718,3.272377002849114,1.3156510888843456,0.5299004507744769,0.0
20,5%OTM,0.25,0.12449964350062004,0.12475075433016268,0.05567214710696491,10.45169000738873,2.955162578865195,0.5614946749705683,0.0
5,5%OTM,0.5,0.1399768062843576,0.1402542564736034,-0.010393285712101017,1.9250468568341201,0.9491094413589385,0.500906091798634,0.0
10,5%OTM,0.5,0.13765380041241526,0.13720766314898974,0.030391214824892144,3.6309857806519075,1.3489744589341868,0.5588678224015182,0.0
20,5%OTM,0.5,0.1349263380129434,0.13506298481517137,0.06195883351751629,12.570530206194952,3.327901807550381,0.592623129043266,0.0
5,5%OTM,0.75,0.15188066863840954,0.1508111296792386,-0.013605544894173361,2.027661388473822,0.933808446005888,0.5275001314857826,0.0
10,5%OTM,0.75,0.1483788486606772,0.14737733802450345,0.03199671559302543,3.988132754460781,1.3701440559640095,0.5922196024051177,0.0
20,5%OTM,0.75,0.1451986498238088,0.14511156116994026,0.06723411302850832,15.052796412677496,3.6744677660750003,0.6220244809596331,0.0
5,5%OTM,1.0,0.16483480333940037,0.16114302294877703,-0.019644422276851436,2.1442545851632984,0.9055743316623448,0.5588159121032649,0.0
10,5%OTM,1.0,0.15850065045474604,0.1572601223889141,0.031538629911560534,4.353871398096042,1.364071020663824,0.6307818699457205,0.0
20,5%OTM,1.0,0.1557653342077595,0.15485477643359843,0.07222792615693636,18.088116912601194,4.034063803334928,0.6561245228878276,0.0
5,10%OTM,0.25,0.12228474754773322,0.12198146561740714,-0.010473343540073737,1.7802504995214008,0.9487256019090954,0.46205880488413187,0.0
10,10%OTM,0.25,0.11923283691225706,0.11943142699337933,0.024083733629576057,3.0841811320884185,1.2686472241504518,0.5201960889940361,0.0
20,10%OTM,0.25,0.11733458910856043,0.11750009707573277,0.05173111251498683,9.197415594214718,2.7421918938111807,0.5522789060520606,0.0
5,10%OTM,0.5,0.12545559010564789,0.12529393449853274,-0.011063130419929422,1.8055418558429084,0.9459022981013886,0.47491492999446266,0.0
10,10%OTM,0.5,0.12227409476113882,0.12260994542089286,0.024536315800088696,3.1689936060592307,1.2742643733186618,0.5361349644175057,0.0
20,10%OTM,0.5,0.12030651477121213,0.12068943957664326,0.05272396310868487,9.699237390055242,2.794417659109605,0.5675009709960621,0.0
5,10%OTM,0.75,0.1299697979558938,0.12851553142112157,-0.013607314978362988,1.8420349188929441,0.9337987489307285,0.49376395726510713,0.0
10,10%OTM,0.75,0.12648846676966663,0.1256819895095302,0.023642753635342083,3.2900061701095593,1.2631947156503756,0.5534330090986678,0.0
20,10%OTM,0.75,0.12372908678408767,0.123766581387567,0.054291841684322516,10.309380763690886,2.8788359959198653,0.582034131717349,0.0
5,10%OTM,1.0,0.13551574565757174,0.1316368445785262,-0.018132184481809754,1.887678545558476,0.9125819068443778,0.5132672501801158,0.0
10,10%OTM,1.0,0.13080323364326707,0.12863614123309558,0.022872623176926864,3.418198936741473,1.253724487391788,0.5863563707707157,0.0
20,10%OTM,1.0,0.12705476293079454,0.126719021767369,0.05530635193857129,10.937054783753613,2.934752484029091,0.6079250489103877,0.0
