n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,window_years,leverage,protection
1000,0.11663751932288713,0.12140348824059242,-0.00474706063998497,0.9764928865840213,1.735914377322894,0.43922545008132324,0.0,5,1.0,none
1000,0.08947108775696522,0.09318307343987661,-0.02050583919524401,0.9016039089253621,1.5348045474695595,0.4634656907179842,0.0,5,1.0,put15
1000,0.09745520686824682,0.10213419917590982,-0.019565181013664886,0.905940529038126,1.5918658033238249,0.4545637213193637,0.0,5,1.0,put20
1000,0.10354830728887576,0.108574129183325,-0.014816358780164622,0.9280908738639991,1.6365439048352473,0.4517270270843859,0.0,5,1.0,put25
1000,0.18106940775848168,0.19469595027692244,-0.08041536610131025,0.6576327894377614,2.297881570494465,0.7490606211838541,0.0,5,2.0,none
1000,0.12233155279372643,0.13657547757388938,-0.09467549014586833,0.6082095399028061,1.7806212730658721,0.7731997224308906,0.0,5,2.0,put15
1000,0.14167296695621145,0.15511240358186337,-0.09224534047629243,0.6164121717359309,1.939409817877953,0.7647461247708326,0.0,5,2.0,put20
1000,0.15272117995964085,0.16830693712795597,-0.09157932493598106,0.6186764792195492,2.035073485450751,0.7589859440375873,0.0,5,2.0,put25
1000,0.21746348271842753,0.24168705602551582,-0.19603462298247476,0.3303978136943862,2.6594069229741937,0.9405152762009038,0.004,5,3.0,none
1000,0.12971806790137708,0.15526179219536554,-0.20211617261503628,0.3079200182686191,1.8330973296086337,0.9481418836189939,0.004,5,3.0,put15
1000,0.15689727023752353,0.18320214001980406,-0.19223708221054822,0.3342939732198412,2.0603701203587157,0.9445773669961915,0.004,5,3.0,put20
1000,0.17693497412675974,0.20237822988261864,-0.20637237122999907,0.3018867926998881,2.253455564817532,0.9445340325904572,0.004,5,3.0,put25
1000,0.1213564880685255,0.11917817919654251,0.03380811194086938,1.394375852043581,3.1431775427538975,0.48693746811838284,0.0,10,1.0,none
1000,0.09025771165440011,0.09063288985548991,0.0127223325740824,1.1347466923532248,2.372686726071943,0.5165105269542788,0.0,10,1.0,put15
1000,0.09946242926451909,0.09952621750265347,0.01637581299485408,1.1763433080745906,2.5807596574341822,0.5030744976917779,0.0,10,1.0,put20
1000,0.10627776275752843,0.10608680800810961,0.020897657348831693,1.2297325898351898,2.7452493645182825,0.5035991195453188,0.0,10,1.0,put25
1000,0.18644442228417724,0.18681548509852366,0.002569947463512253,1.0260096620176706,5.525509775747976,0.7982799789072542,0.0,10,2.0,none
1000,0.12682456298299405,0.12838151296209457,-0.03273333536243851,0.7169442358604449,3.2998338001164447,0.8206936128064294,0.0,10,2.0,put15
1000,0.14482040832396736,0.14652244643907553,-0.02179779771183105,0.802231136986644,3.8662872676110873,0.8151714143461757,0.0,10,2.0,put20
1000,0.159967375299089,0.1598916423174135,-0.018767157341604192,0.8274361850660279,4.40929898368508,0.8106981735413551,0.0,10,2.0,put25
1000,0.21977048107944452,0.2227345167656812,-0.09428655643850879,0.28480912071360265,7.119149316525356,0.9740578628698578,0.011,10,3.0,none
1000,0.13319423426518773,0.1376178481135217,-0.11076763604835649,0.260303723695654,3.4447688421544687,0.9760179721207538,0.011,10,3.0,put15
1000,0.1590174392436876,0.16444557131574086,-0.10127065650663837,0.30438499019605514,4.211643824378077,0.9751371945498484,0.011,10,3.0,put20
1000,0.18009847337786766,0.18381374053720753,-0.09707918830132964,0.2941034522678341,5.114852701181389,0.9746752449688184,0.011,10,3.0,put25
1000,0.11813275615044483,0.11852223724397704,0.0452164247032867,1.9411344377860922,5.337046925862863,0.5079145305671116,0.0,15,1.0,none
1000,0.08814066297543688,0.08992431844026653,0.021459668569168644,1.374989727818904,3.549770709562848,0.5322515024956491,0.0,15,1.0,put15
1000,0.0981285771960001,0.0987202287794677,0.02894638196321797,1.5341434494669666,4.071129833437823,0.5274873630420049,0.0,15,1.0,put20
1000,0.10480222990683263,0.10528057425955961,0.03423945977318687,1.6568655514616428,4.4584026661865845,0.5228990568000599,0.0,15,1.0,put25
1000,0.18474715276232212,0.1849096782419204,0.024767169556612435,1.4432987484321878,12.712586551869874,0.8279394378799392,0.0,15,2.0,none
1000,0.12325447346988472,0.12639531224825942,-0.012998431510511796,0.8218285871773195,5.715691763628609,0.8496696854218464,0.0,15,2.0,put15
1000,0.1424193781571228,0.1442428543180177,-0.003424917520609805,0.9498464925704675,7.366579917565384,0.8459746687062526,0.0,15,2.0,put20
1000,0.15588515408371795,0.1575865163561225,0.007044694767931514,1.1110278330937482,8.78195577082877,0.8439800195627467,0.0,15,2.0,put25
1000,0.22116439327642734,0.21963109941885725,-0.0391662628963555,0.25884661748042015,18.323926555408754,0.9855768946626159,0.019,15,3.0,none
1000,0.13124678005673696,0.1342798422186992,-0.08871213068935724,0.16733801706531423,6.008425461143344,0.988588810015429,0.019,15,3.0,put15
1000,0.159976691233775,0.1603280783777109,-0.07509598691193142,0.2051298687922192,8.835558299952492,0.9885174375626261,0.019,15,3.0,put20
1000,0.17654021023293742,0.1797125274151455,-0.06459252676746907,0.24489783258694683,10.972652542870279,0.9888370191975191,0.019,15,3.0,put25
1000,0.11765726402368304,0.11795336629390424,0.05790018784103578,3.082447958585794,9.250663891723537,0.5323842830738001,0.0,20,1.0,none
1000,0.09087507785101978,0.09003018858670958,0.03378825583515893,1.9437175552164938,5.695088031067039,0.5410384878537915,0.0,20,1.0,put15
1000,0.09903458300608725,0.09851990693787681,0.03784793267653332,2.1022022302628156,6.610393437732501,0.5447891109099047,0.0,20,1.0,put20
1000,0.10578220595166188,0.10481641652306942,0.043383240804778345,2.3381803567159922,7.471227313965736,0.5446377149609257,0.0,20,1.0,put25
1000,0.1815654646564383,0.18244533369214724,0.05442028948255681,2.8858858201862176,28.129264013357272,0.8481187928843893,0.0,20,2.0,none
1000,0.12438789655225979,0.1263545120486238,0.009362912788140988,1.2048885266355644,10.430978135225875,0.86189046413304,0.0,20,2.0,put15
1000,0.14364807669953605,0.14333915398006505,0.017088751796637505,1.4033919527469698,14.650353007287197,0.8576318098993497,0.0,20,2.0,put20
1000,0.1570049566774523,0.15586259097760508,0.024817773086251226,1.6328001005534185,18.48010855034675,0.8563378709518873,0.0,20,2.0,put25
1000,0.2088158228487429,0.21156734071830874,-0.007479624140879111,0.486787288513413,41.99189446547207,0.9906760951308762,0.018,20,3.0,none
1000,0.130078000944168,0.13344853753095945,-0.050746280108526234,0.20624231446467875,10.829659075871266,0.9906921640204679,0.018,20,3.0,put15
1000,0.15509136083934172,0.15777998925621584,-0.04184804940828797,0.24435774234234525,17.026584134081162,0.9906683596344783,0.018,20,3.0,put20
1000,0.17614258291444607,0.17524838886424002,-0.031098733145384548,0.32719264434053824,24.14285139132253,0.9912101687433833,0.018,20,3.0,put25
