date,total_return_index,close,vix,rf_annual,div_yield
1927-12-30,,17.660000,,,0.044101
1928-01-03,,17.760000,,,0.044307
1928-01-04,,17.719999,,,0.044307
1928-01-05,,17.549999,,,0.044307
1928-01-06,,17.660000,,,0.044307
1928-01-09,,17.500000,,,0.044307
1928-01-10,,17.370001,,,0.044307
1928-01-11,,17.350000,,,0.044307
1928-01-12,,17.469999,,,0.044307
1928-01-13,,17.580000,,,0.044307
1928-01-16,,17.290001,,,0.044307
1928-01-17,,17.299999,,,0.044307
1928-01-18,,17.260000,,,0.044307
1928-01-19,,17.379999,,,0.044307
1928-01-20,,17.480000,,,0.044307
1928-01-23,,17.639999,,,0.044307
1928-01-24,,17.709999,,,0.044307
1928-01-25,,17.520000,,,0.044307
1928-01-26,,17.629999,,,0.044307
1928-01-27,,17.690001,,,0.044307
1928-01-30,,17.490000,,,0.044307
1928-01-31,,17.570000,,,0.044307
1928-02-01,,17.530001,,,0.045225
1928-02-02,,17.629999,,,0.045225
1928-02-03,,17.400000,,,0.045225
1928-02-06,,17.450001,,,0.045225
1928-02-07,,17.440001,,,0.045225
1928-02-08,,17.490000,,,0.045225
1928-02-09,,17.549999,,,0.045225
1928-02-10,,17.540001,,,0.045225
1928-02-14,,17.440001,,,0.045225
1928-02-15,,17.400000,,,0.045225
1928-02-16,,17.350000,,,0.045225
1928-02-17,,17.040001,,,0.045225
1928-02-20,,16.950001,,,0.045225
1928-02-21,,17.110001,,,0.045225
1928-02-23,,17.129999,,,0.045225
1928-02-24,,17.180000,,,0.045225
1928-02-27,,17.110001,,,0.045225
1928-02-28,,17.160000,,,0.045225
1928-02-29,,17.260000,,,0.045225
1928-03-01,,17.299999,,,0.043288
1928-03-02,,17.299999,,,0.043288
1928-03-05,,17.570000,,,0.043288
1928-03-06,,17.670000,,,0.043288
1928-03-07,,17.580000,,,0.043288
1928-03-08,,17.639999,,,0.043288
1928-03-09,,17.930000,,,0.043288
1928-03-12,,18.000000,,,0.043288
